Week,Retailer,Sales Gold NZ BL,Sales Gold NZ ZR
07/08/2017,Hyundae Department,1360.58309,1360.58309
07/08/2017,Market 999,66.50145773,66.50145773
07/08/2017,Homeplus 365,13.61516035,13.61516035
07/08/2017,Emart24,41.5,41.5
07/08/2017,Mini Stop,0,0
07/08/2017,No Brand,0,0
07/08/2017,CU,0,0
07/08/2017,Shinsegae Department,0,0
07/08/2017,Sampling ,961.0265305,961.0265305
07/08/2017,Loss,0,0
07/08/2017,Wholesale,45530.17784,45530.17784
07/08/2017,E-commerce,501.9533528,501.9533528
07/08/2017,Retail,50274.12274,50274.12274
14/08/2017,Lotte Mart,8669.699708,8669.699708
14/08/2017,Lotte super,1764.685131,1764.685131
14/08/2017,Homeplus,8054.880467,8054.880467
14/08/2017,AK Plaza,334,334
14/08/2017,GS Retail,1695,1695
14/08/2017,Lotte Department,256,256
14/08/2017,GS25,112,112
14/08/2017,Emart everyday,1722.705539,1722.705539
14/08/2017,CS Distribution,0,0
14/08/2017,Eland,720.5655977,720.5655977
14/08/2017,Emart,21642.03032,21642.03032
14/08/2017,Emart traders,4018.402041,4018.402041
14/08/2017,Homeplus Express,2250.559767,2250.559767
14/08/2017,Mega Mart,1051.533528,1051.533528
14/08/2017,Costco Korea,7927.636364,7927.636364
14/08/2017,VIC Market,517,517
14/08/2017,Hyundae Department,1438.215744,1438.215744
14/08/2017,Market 999,43.12536443,43.12536443
14/08/2017,Homeplus 365,14.41690962,14.41690962
14/08/2017,Emart24,51.7,51.7
14/08/2017,Mini Stop,0,0
14/08/2017,No Brand,0,0
14/08/2017,CU,0,0
14/08/2017,Shinsegae Department,0,0
14/08/2017,Sampling ,928.6387755,928.6387755
14/08/2017,Loss,0,0
14/08/2017,Wholesale,43086.40233,43086.40233
14/08/2017,E-commerce,582.5510204,582.5510204
14/08/2017,Retail,62284.15648,62284.15648
21/08/2017,Lotte Mart,5413.486881,5413.486881
21/08/2017,Lotte super,1802.766764,1802.766764
21/08/2017,Homeplus,6560.195335,6560.195335
21/08/2017,AK Plaza,267,267
21/08/2017,GS Retail,761,761
21/08/2017,Lotte Department,307,307
21/08/2017,GS25,100,100
21/08/2017,Emart everyday,1189.378134,1189.378134
21/08/2017,CS Distribution,0,0
21/08/2017,Eland,3820.618076,3820.618076
21/08/2017,Emart,9641.707289,9641.707289
21/08/2017,Emart traders,1882.519825,1882.519825
21/08/2017,Homeplus Express,1902.603499,1902.603499
21/08/2017,Mega Mart,775.1603499,775.1603499
21/08/2017,Costco Korea,8471.842141,8471.842141
21/08/2017,VIC Market,255,255
21/08/2017,Hyundae Department,1199.419825,1199.419825
21/08/2017,Market 999,54.40816327,54.40816327
21/08/2017,Homeplus 365,15.67055394,15.67055394
21/08/2017,Emart24,32,32
21/08/2017,Mini Stop,39,39
21/08/2017,No Brand,0,0
21/08/2017,CU,0,0
21/08/2017,Shinsegae Department,0,0
21/08/2017,Sampling ,996.9448979,996.9448979
21/08/2017,Loss,0,0
21/08/2017,Wholesale,42322.14577,42322.14577
21/08/2017,E-commerce,359.6355685,359.6355685
21/08/2017,Retail,44490.77684,44490.77684
28/08/2017,Lotte Mart,5841.504373,5841.504373
28/08/2017,Lotte super,1791.725948,1791.725948
28/08/2017,Homeplus,8474.798834,8474.798834
28/08/2017,AK Plaza,228,228
28/08/2017,GS Retail,1365,1365
28/08/2017,Lotte Department,348,348
28/08/2017,GS25,102,102
28/08/2017,Emart everyday,1861.107289,1861.107289
28/08/2017,CS Distribution,0,0
28/08/2017,Eland,831.9825073,831.9825073
28/08/2017,Emart,13962.40408,13962.40408
28/08/2017,Emart traders,3040.210787,3040.210787
28/08/2017,Homeplus Express,2229.037901,2229.037901
28/08/2017,Mega Mart,317.6676385,317.6676385
28/08/2017,Costco Korea,7289.454545,7289.454545
28/08/2017,VIC Market,129,129
28/08/2017,Hyundae Department,1273.848397,1273.848397
28/08/2017,Market 999,48.2915756,48.2915756
28/08/2017,Homeplus 365,14.3111248,14.3111248
28/08/2017,Emart24,25.7,25.7
28/08/2017,Mini Stop,15.2,15.2
28/08/2017,No Brand,0,0
28/08/2017,CU,0,0
